prenom;code_nip;m2105;m1101;m1102;m1201;m2101
Jay;88137100381;9.91;8.05;7.29;8.00;5.23
Redd;26365411421;9.98;7.05;10.93;15.40;9.07
Daniel;83795827635;13.56;15.84;17.09;17.62;17.43
Clément;50521093519;12.33;7.48;11.82;13.05;9.40
Jon;31542518167;10.94;11.59;9.82;15.71;9.30
Kolby;61114227341;7.22;6.53;5.79;7.46;7.42
Thelonius;76230368587;11.03;5.88;8.80;12.36;10.13
Henry;46735622425;9.43;11.61;12.02;13.49;11.07
Kristia;53232672826;11.18;6.85;5.32;10.25;5.67
Leopold;76697174432;10.22;9.31;11.48;8.65;7.73
Évariste;95783618253;9.13;9.66;8.46;14.13;5.20
Delicia;40587850116;11.06;10.05;9.36;10.63;7.30
Jarod;23043520781;12.28;8.77;15.04;12.56;13.43
Wystan;86762142689;13.17;12.76;12.66;11.43;11.10
Lovell;41334987643;13.41;8.92;9.27;8.10;11.63
Wymond;77239293645;9.56;11.48;12.00;13.81;12.63
Earnest;24429678732;11.59;11.83;10.82;14.76;11.67
Edwyn;12388757575;11.93;10.66;10.13;10.79;7.73
Kristopher;42156083853;15.23;11.43;10.09;12.19;8.48
Lon;77387628584;14.03;11.56;13.91;13.17;14.97
Bert;75476768301;8.50;11.73;15.27;14.44;13.13
Jonathan;30001247453;10.03;9.44;11.29;14.15;10.91
Zach;98213263688;8.60;7.54;7.54;10.21;1.83
Randolf;61852223799;11.38;4.80;10.29;11.61;6.47
James;27447132664;15.27;14.07;17.79;18.57;18.00
Winton;16241638875;15.51;12.46;15.97;18.15;17.47
Gervaise;18782492717;12.57;9.73;15.51;9.82;6.13
Bryce;17756424195;11.74;12.14;11.07;16.51;12.53
Denzel;33408388435;13.45;10.21;10.89;12.79;11.35
Maximilien;14936031419;12.01;11.32;10.23;9.37;8.37
Clayton;52688648537;14.96;16.38;18.11;19.21;17.17
Jérémie;64543128834;13.11;14.37;14.43;15.24;11.27
Morley;42738231565;15.56;15.23;13.55;12.16;6.56
Zoé;62119538676;9.77;9.92;7.86;11.75;9.43
Bertram;54832208577;15.40;10.89;15.79;12.46;11.00
Gratien;61457276305;10.42;10.32;7.20;12.74;6.87
Xaviar;42474188270;12.95;12.31;14.86;15.99;12.81
Reena;67272041464;7.71;9.86;6.89;9.52;7.17
Timothée;32491195731;17.39;18.19;19.07;19.68;18.20
Gladwyn;34298719357;8.09;10.02;9.84;13.73;6.93
Eliott;66864439578;13.26;10.99;8.93;14.29;9.97
Brent;35051448250;9.97;12.92;9.74;17.43;10.31
Dayton;61140719083;8.24;6.63;10.54;10.16;4.87
Gil;78757944780;12.88;10.48;11.37;14.76;9.83
Barnabé;25055635469;12.18;10.07;14.52;12.56;7.53
Lockie;65146886779;15.64;15.46;15.61;16.43;3.67
Woodrow;59365570698;8.46;11.52;8.86;12.63;9.37
